Number,Player,Pos,HT,WT,Age,Current Team,YOS,Pre-Draft Team,Draft Status,Nationality
3,Trent Forrest,SG,4-Jun,210,24,Utah Jazz,1,Florida State,"2020 NBA Draft, Undrafted",United States
13,Evan Fournier,SG,7-Jun,205,29,New York Knicks,9,Poitiers Basket 86 (France),2012 Rnd 1 Pick 20,France
5,De'Aaron Fox,PG,3-Jun,185,23,Sacramento Kings,4,Kentucky,2017 Rnd 1 Pick 5,United States
20,Markelle Fultz,PG,4-Jun,209,23,Orlando Magic,4,Washington,2017 Rnd 1 Pick 1,United States
21,Daniel Gafford,C,11-Jun,234,23,Washington Wizards,2,Arkansas,2019 Rnd 2 Pick 8,United States
8,Danilo Gallinari,SF,10-Jun,233,33,Atlanta Hawks,13,AX Armani Exchange Milan (Italy),2008 Rnd 1 Pick 6,Italy
10,Darius Garland,G,1-Jun,186,21,Cleveland Cavaliers,2,Vanderbilt,2019 Rnd 1 Pick 5,United States
0,Marcus Garrett,PG,5-Jun,205,23,Miami Heat,0,Kansas,"2021 NBA Draft, Undrafted",United States
16,Usman Garuba,C,8-Jun,220,19,Houston Rockets,0,Real Madrid (Spain),2021 Rnd 1 Pick 23,Spain
55,Luka Garza,C,11-Jun,235,22,Detroit Pistons,0,Iowa,2021 Rnd 2 Pick 22,United States
8,Rudy Gay,SF,8-Jun,240,35,Utah Jazz,15,Connecticut,2006 Rnd 1 Pick 8,United States
13,Paul George,GF,8-Jun,220,31,Los Angeles Clippers,11,Fresno State,2010 Rnd 1 Pick 10,United States
67,Taj Gibson,F,9-Jun,232,36,New York Knicks,12,USC,2009 Rnd 1 Pick 26,United States
3,Josh Giddey,G,8-Jun,210,19,Oklahoma City Thunder,0,Adelaide (Australia),2021 Rnd 1 Pick 6,Australia
2,Shai Gilgeous-Alexander,PG,6-Jun,181,23,Oklahoma City Thunder,3,Kentucky,2018 Rnd 1 Pick 11,Canada
16,Anthony Gill,PF,8-Jun,230,29,Washington Wizards,1,Virginia,"2016 NBA Draft, Undrafted",United States
27,Rudy Gobert,C,1-Jul,245,29,Utah Jazz,8,Cholet Basket (France),2013 Rnd 1 Pick 27,France
